"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,Google Finance
,,,,,
expr,<< enter a symbol,,,,
,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,
"Express, Inc.",,,,,
,,,,,
Current Price,,Change,% Change,,
2.9,,0.01,0.17%,,
,,,,,
,,,,,
Market Cap,P/E Ratio,Beta,,,
194M,-,1.67,,,
,,,,,12 Months
,,,,,
,,,,,
expr,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Date,Open,High,Low,Close,Volume
11-Aug-21,6.14,6.31,5.84,6.31,"4,621,620"
12-Aug-21,6.43,6.59,5.9,6.01,"4,432,525"
13-Aug-21,5.97,6.19,5.85,6.02,"3,203,559"
16-Aug-21,5.95,6.06,5.68,5.95,"2,707,447"
17-Aug-21,5.83,5.92,5.34,5.54,"3,778,624"
18-Aug-21,5.58,6.12,5.49,5.82,"3,194,660"
19-Aug-21,5.77,6.52,5.75,6.39,"10,211,455"
20-Aug-21,6.26,6.8,6.21,6.72,"7,731,753"
23-Aug-21,6.89,7.06,6.69,6.99,"5,078,954"
24-Aug-21,7,7.71,6.97,7.26,"11,643,237"
25-Aug-21,7.27,7.48,6.36,6.42,"17,183,220"
26-Aug-21,6.35,6.75,6.13,6.17,"7,380,532"
27-Aug-21,6.11,6.6,6.07,6.45,"5,581,958"
30-Aug-21,6.44,6.51,5.9,5.92,"7,746,239"
31-Aug-21,5.87,6.12,5.87,5.93,"4,977,964"
1-Sep-21,5.96,6.01,5.68,5.77,"5,599,850"
2-Sep-21,5.78,5.78,5.49,5.63,"5,124,709"
3-Sep-21,5.61,5.65,5.33,5.39,"4,667,037"
7-Sep-21,5.39,5.6,5.36,5.43,"4,136,427"
8-Sep-21,5.39,5.43,5.1,5.31,"4,111,450"
9-Sep-21,5.32,5.5,5.26,5.37,"3,332,506"
10-Sep-21,5.4,5.55,5.24,5.28,"2,716,401"
13-Sep-21,5.31,5.98,5.31,5.74,"8,855,445"
14-Sep-21,5.72,5.74,5.43,5.44,"4,016,135"
15-Sep-21,5.39,5.47,5.31,5.37,"2,714,492"
16-Sep-21,5.35,5.76,5.35,5.59,"3,292,180"
17-Sep-21,5.56,5.82,5.37,5.37,"6,657,691"
